Call ID,CallTimestamp,CallDuration,Call Type,EmployeeID,WaitTime,CallAbandoned
63,5/14/2021 12:26,1272,2,V228277,42,0
64,6/16/2021 9:38,252,3,T398672,0,0
65,5/13/2021 12:42,84,3,Q921541,271,0
66,6/23/2021 10:33,1385,1,B971624,0,0
67,5/29/2021 10:10,1404,1,J192194,7,1
68,5/31/2021 10:58,1454,2,V126561,0,0
69,5/3/2021 12:35,377,1,F533051,25,0
70,5/6/2021 13:58,120,1,V828034,21,0
71,6/25/2021 14:44,983,2,T387561,22,0
72,6/8/2021 9:16,229,2,E243130,132,0
73,5/7/2021 10:44,1108,2,I543040,13,0
74,6/21/2021 14:58,334,3,O856292,0,0
75,6/18/2021 8:02,1069,3,B651033,10,0
76,5/12/2021 12:11,215,3,K273930,0,0
77,6/5/2021 14:39,432,1,U641256,6,0
78,6/4/2021 12:55,631,2,X409223,23,0
79,6/20/2021 10:46,1253,3,V732706,27,0
80,5/19/2021 13:23,1226,3,I281837,9,0
81,6/25/2021 11:30,76,2,B971624,0,0
82,6/14/2021 8:57,1016,3,D411745,0,0
83,5/30/2021 11:31,1436,3,K222775,18,0
84,5/9/2021 13:23,1261,3,E778362,30,0
85,5/12/2021 14:08,804,2,U559430,208,0
86,6/11/2021 9:13,835,2,K418200,19,0
87,6/30/2021 12:22,63,3,N772493,14,0
88,6/26/2021 12:31,91,3,V126561,0,0
89,5/11/2021 10:50,90,2,A166733,0,0
90,6/16/2021 12:41,145,3,G727038,19,0
91,5/8/2021 15:54,647,1,M855788,8,0
92,6/3/2021 9:07,602,2,C206355,151,0
93,6/28/2021 12:51,724,1,E137708,21,0
94,5/18/2021 15:34,595,2,A475155,22,0
95,6/26/2021 15:29,1117,3,H438047,0,0
96,5/10/2021 10:53,501,2,M163408,2,0
97,5/25/2021 13:28,287,2,B971624,12,0
98,5/14/2021 11:59,446,2,F533051,21,1
99,6/19/2021 11:36,969,2,J173690,30,0
100,5/9/2021 10:34,955,3,V228277,0,0
101,6/26/2021 8:47,137,3,P203824,0,0
102,6/16/2021 8:58,762,3,B651033,27,0
103,5/24/2021 12:16,233,3,U559430,0,0
104,6/8/2021 14:48,1218,2,V828034,0,0
105,6/26/2021 8:14,54,3,L736768,2,0
106,6/12/2021 9:48,778,3,S704443,14,0
107,6/16/2021 13:32,808,3,D411745,244,0
108,5/6/2021 11:46,483,2,I543040,16,0
109,6/12/2021 11:43,877,3,M855788,8,0
110,5/19/2021 9:46,452,2,I992869,8,0
111,5/15/2021 12:58,228,2,E988252,0,0
112,5/28/2021 15:50,1436,1,J192194,8,0
113,5/18/2021 13:48,488,3,K222775,11,0
114,5/3/2021 15:40,1047,2,F533051,0,0
115,5/25/2021 12:38,387,2,N620104,0,0
116,5/6/2021 9:05,76,3,V732706,18,0
117,5/24/2021 13:00,718,2,F533051,30,0
118,6/18/2021 8:55,354,3,T659609,96,0
119,5/7/2021 14:11,1344,1,D774655,0,0
120,5/14/2021 11:05,95,3,A475155,1,0
121,6/2/2021 15:16,653,3,S274120,28,0
122,6/8/2021 13:45,815,3,K669566,0,0
123,6/14/2021 9:28,618,2,M794992,0,0
124,5/5/2021 14:11,1325,2,X825147,3,0
125,6/8/2021 10:56,616,2,S704443,0,0
126,6/6/2021 11:53,457,2,U559430,4,0
127,5/27/2021 12:51,853,3,K915074,0,0
128,5/28/2021 14:47,326,3,I543040,0,0
129,5/30/2021 11:39,1241,3,G727038,27,0
130,6/27/2021 8:46,1332,2,C206355,30,0
131,6/12/2021 13:23,75,2,V732706,0,0
132,5/24/2021 15:30,976,2,I281837,0,0
133,5/27/2021 12:52,967,3,K669566,0,0
134,6/30/2021 10:46,823,2,U559430,0,0
135,6/28/2021 14:45,113,3,G586239,0,0
136,5/8/2021 15:54,1174,3,V732706,0,0
137,6/10/2021 13:52,898,2,P286634,1,0
138,6/17/2021 8:07,35,3,P286634,4,1
139,5/24/2021 14:06,335,3,Q921541,4,0
140,5/23/2021 12:06,930,3,E988252,23,0
141,5/30/2021 9:28,81,3,U194381,17,0
142,5/8/2021 14:44,855,2,A166733,28,0
143,5/18/2021 8:50,1496,3,T387561,0,0
144,6/9/2021 15:15,1401,2,J549755,0,0
145,5/4/2021 9:50,198,2,N772493,9,0
146,6/25/2021 9:43,534,1,T398672,0,0
147,6/7/2021 9:06,172,3,K915074,28,1
148,5/28/2021 12:33,1071,3,F533051,20,0
149,5/15/2021 11:01,1429,3,J192194,26,1
150,5/12/2021 15:43,90,1,E988252,286,0
151,5/12/2021 12:20,982,1,J173690,30,0
152,5/8/2021 8:42,1331,1,X991580,0,0
153,5/29/2021 9:06,953,1,T664783,11,1
154,5/15/2021 12:44,795,3,T398672,0,0
155,6/6/2021 15:49,517,2,X409223,0,0
156,5/18/2021 15:52,693,3,E137708,0,0
157,5/2/2021 11:47,742,3,T664783,0,0
158,5/11/2021 12:49,590,3,T659609,7,0
159,6/3/2021 14:49,48,1,I992869,163,0
160,5/23/2021 9:41,352,3,V228277,0,0
161,5/1/2021 10:37,515,3,N620104,28,0
162,5/24/2021 13:57,138,3,V126561,0,0
163,5/2/2021 15:12,687,1,K399501,0,0
164,5/3/2021 14:47,785,2,Q921541,0,0
165,6/4/2021 14:38,1157,3,K222775,13,0
166,6/14/2021 13:58,1377,2,X991580,0,0
167,6/5/2021 11:03,1046,3,J632516,26,0
168,6/18/2021 14:32,871,2,X991580,0,0
169,5/20/2021 15:30,292,3,T387561,24,0
170,6/14/2021 10:06,1025,1,S704443,0,0
171,6/8/2021 14:16,241,2,S274120,0,0
172,5/22/2021 15:36,421,2,O856292,4,0
173,5/13/2021 13:02,1179,2,A166733,0,0
174,6/18/2021 15:43,1356,3,O362956,28,0
175,5/27/2021 8:41,37,3,E778362,14,0
176,6/12/2021 15:15,713,1,G727038,17,0
177,6/15/2021 9:33,1335,2,V732706,20,0
178,5/12/2021 12:57,10,1,V228277,0,0
179,6/14/2021 9:42,1492,3,V126561,0,0
180,6/6/2021 12:07,21,3,B861430,19,1
181,5/30/2021 13:37,1050,3,A166733,4,0
182,6/6/2021 10:56,145,3,J549755,11,0
183,6/25/2021 9:34,1003,1,X409223,17,0
184,6/3/2021 9:13,1106,2,H438047,20,0
185,6/20/2021 12:09,1325,3,K418200,30,0
186,6/3/2021 12:24,1421,2,B971624,218,0
187,6/21/2021 11:58,656,3,B971624,22,0
188,6/1/2021 9:10,1007,3,P203824,18,0
189,5/30/2021 12:03,985,2,D411745,1,0
190,5/28/2021 13:35,700,3,N620104,0,0
191,6/17/2021 10:26,609,3,U559430,6,0
192,6/5/2021 8:41,769,2,K222775,7,0
193,5/3/2021 12:10,1436,2,C206355,6,0
194,5/5/2021 13:26,640,2,P203824,0,0
195,5/15/2021 9:35,1295,3,N772493,0,0
196,5/17/2021 14:25,101,2,J173690,0,0
197,6/15/2021 15:03,1,3,T398672,0,0
198,5/17/2021 13:12,532,2,M855788,19,0
199,6/1/2021 11:59,15,2,X409223,13,0
200,6/14/2021 8:13,1139,3,S564705,28,0
201,5/22/2021 10:09,33,2,T387561,4,0
202,6/7/2021 8:14,357,1,J173690,0,0
203,6/28/2021 15:32,41,2,P286634,16,0
204,5/29/2021 12:00,1304,3,D774655,20,0
205,6/7/2021 13:54,985,3,B971624,29,0
206,5/18/2021 15:41,1195,3,A166733,0,0
207,5/20/2021 15:36,521,2,C206355,4,0
208,6/23/2021 9:06,1498,1,T664783,15,0
209,5/25/2021 11:39,1331,1,S274120,259,0
210,5/2/2021 14:28,1175,3,T398672,221,0
211,5/11/2021 12:36,198,2,G727038,0,0
212,6/15/2021 11:04,495,1,H438047,0,0
213,6/4/2021 11:57,311,3,U559430,0,0
214,5/31/2021 14:49,710,2,K399501,0,0
215,6/15/2021 11:00,894,3,K273930,0,0
216,6/23/2021 8:59,1158,2,K915074,13,0
217,6/15/2021 9:36,663,2,G727038,23,0
218,6/2/2021 14:33,430,3,V228277,0,0
219,5/9/2021 8:07,1043,3,B971624,2,0
220,6/24/2021 10:05,397,3,B651033,13,0
221,5/14/2021 10:22,169,3,M794992,6,0
222,5/14/2021 9:55,1468,3,F533051,0,0
223,6/25/2021 14:38,327,2,M794992,0,0
224,6/19/2021 14:31,542,3,M855788,0,0
225,6/13/2021 9:53,579,1,L736768,21,0
226,5/5/2021 12:21,89,3,O362956,2,0
227,6/27/2021 11:27,1281,3,O856292,1,0
228,6/30/2021 11:27,496,3,K915074,9,0
229,5/25/2021 10:36,912,3,S704443,24,0
230,5/14/2021 9:33,632,3,T398672,0,0
231,6/14/2021 11:11,309,3,U194381,8,0
232,5/4/2021 14:06,486,3,O362956,33,0
233,6/30/2021 9:04,734,2,Y193775,0,0
234,5/31/2021 15:06,299,2,X991580,145,0
235,6/9/2021 9:32,1261,1,D774655,15,0
236,6/22/2021 10:47,1032,3,J192194,27,0
237,6/28/2021 14:39,386,3,J549755,20,0
238,5/26/2021 11:42,1356,3,V828034,0,0
239,5/13/2021 12:21,287,3,T664783,0,0
240,5/21/2021 13:25,951,3,U194381,13,0
241,5/17/2021 9:18,902,2,T664783,159,0
242,6/27/2021 15:17,530,3,F542348,0,0
243,6/17/2021 8:26,953,3,G586239,12,0
244,5/7/2021 9:04,314,3,E778362,24,0
245,6/23/2021 14:20,779,3,D774655,5,0
246,6/12/2021 13:25,1146,2,N620104,18,0
247,6/2/2021 9:12,1343,1,I992869,0,0
248,6/26/2021 12:37,7,2,B971624,0,1
249,5/5/2021 15:31,919,3,T398672,0,0
250,5/8/2021 10:12,1189,1,D774655,1,0
251,6/16/2021 8:01,1003,3,E137708,0,0
252,5/31/2021 12:26,28,2,E988252,44,0
253,5/5/2021 12:20,107,3,L736768,5,0
254,5/19/2021 10:16,326,3,G727038,12,0
255,6/30/2021 13:25,95,3,C206355,0,0
256,5/19/2021 8:35,640,2,N470942,21,0
257,6/3/2021 12:10,319,2,G727038,0,0
258,6/15/2021 8:20,729,2,M163408,20,0
259,6/24/2021 8:21,467,2,P203824,0,1
260,6/10/2021 14:17,250,1,Q921541,11,0
261,5/8/2021 10:44,1397,1,M163408,28,0
262,5/24/2021 10:43,8,2,E988252,6,0
263,5/22/2021 10:09,48,3,B651033,0,0
264,5/20/2021 14:17,1354,1,X110622,0,0
265,5/5/2021 11:00,175,3,U559430,0,0
266,6/2/2021 11:18,775,3,D774655,21,0
267,5/2/2021 13:08,1041,2,O856292,170,0
268,6/20/2021 9:51,140,3,J632516,0,0
269,6/9/2021 9:29,494,3,B971624,0,1
270,5/7/2021 12:19,837,2,T398672,1,0
271,6/13/2021 12:31,113,2,C206355,0,0
272,6/17/2021 14:59,1,1,E988252,83,0
273,6/27/2021 10:04,48,2,T664783,2,0
274,5/4/2021 10:12,833,2,V828034,17,0
275,6/27/2021 8:38,266,3,J632516,0,0
276,5/26/2021 13:02,450,3,I543040,202,0
277,5/13/2021 11:05,516,3,N119221,21,0
278,5/17/2021 13:29,669,2,J419954,11,0
279,5/10/2021 11:05,1499,3,X409223,0,0
280,5/31/2021 8:35,489,3,M163408,7,0
281,5/28/2021 15:22,1398,2,I992869,7,0
282,6/8/2021 13:41,1221,3,T398672,26,0
283,6/19/2021 12:23,708,3,G586239,0,0
284,6/17/2021 13:57,132,3,U559430,0,0
285,6/30/2021 8:25,740,3,O362956,118,1
286,6/1/2021 10:02,268,2,A166733,0,0
287,6/4/2021 16:00,1248,1,T659609,16,0
288,5/17/2021 10:11,642,2,D774655,222,0
289,5/16/2021 11:11,112,1,X825147,11,0
290,5/6/2021 8:08,1023,2,X409223,0,0
291,5/20/2021 10:17,477,3,M163408,18,0
292,5/10/2021 15:43,735,3,H438047,0,0
293,6/30/2021 15:57,827,3,E137708,2,0
294,5/26/2021 14:19,378,2,T387561,23,0
295,6/5/2021 14:18,194,3,X991580,0,0
296,6/10/2021 9:50,28,3,K399501,288,0
297,6/8/2021 14:27,895,2,J632516,21,0
298,5/2/2021 10:11,770,3,V828034,0,0
299,6/7/2021 15:18,1489,1,I543040,0,0
300,5/20/2021 12:31,234,3,V828034,0,0
301,6/21/2021 15:22,73,2,S564705,0,0
302,6/12/2021 14:04,913,2,H438047,0,0
303,5/14/2021 13:51,1449,1,J192194,0,1
304,6/3/2021 15:00,434,3,K915074,13,0
305,5/10/2021 14:03,131,3,J173690,10,0
306,6/4/2021 12:59,453,3,F542348,0,0
307,5/18/2021 11:02,1465,3,J173690,84,0
308,6/12/2021 12:30,316,2,K273930,22,0
309,6/9/2021 12:58,1430,3,I992869,262,0
310,5/30/2021 10:46,1289,3,T398672,0,0
311,6/6/2021 9:20,785,2,K222775,17,0
312,5/5/2021 15:11,17,3,I281837,21,0
313,5/6/2021 10:08,1359,3,B651033,0,0
314,6/21/2021 14:43,591,2,F542348,198,0
315,6/17/2021 15:56,619,2,O856292,0,0
316,6/5/2021 8:47,1253,3,P286634,0,0
317,5/14/2021 15:27,76,3,N772493,13,0
318,6/30/2021 12:56,1014,3,M163408,1,0
319,6/30/2021 12:24,256,2,G727038,192,0
320,5/11/2021 12:36,758,2,C206355,12,0
321,6/27/2021 14:15,742,3,V732706,2,1
322,6/25/2021 13:37,519,1,J192194,0,0
323,5/10/2021 8:06,1231,1,Y193775,15,0
324,6/14/2021 10:02,1016,1,J192194,28,0
325,5/29/2021 8:39,324,2,N620104,24,0
326,5/30/2021 14:37,315,3,E778362,0,0
327,5/4/2021 12:32,1470,1,Y193775,0,0
328,5/13/2021 12:11,407,3,O856292,4,0
329,5/29/2021 11:14,93,2,M855788,2,0
330,6/23/2021 15:28,635,2,E988252,27,0
331,6/7/2021 10:50,1210,2,X110622,19,0
332,6/11/2021 14:34,415,3,Y193775,11,1
333,5/4/2021 11:25,887,2,P203824,25,0
334,6/22/2021 14:09,561,3,K669566,148,0
335,5/4/2021 10:13,1219,1,Y193775,13,0
336,5/22/2021 13:30,1327,3,J419954,11,1
337,5/4/2021 14:06,540,2,V732706,26,0
338,6/14/2021 14:08,1064,3,Y193775,0,0
339,5/14/2021 15:23,451,3,E243130,242,0
340,5/20/2021 12:00,1425,3,J173690,154,0
341,5/26/2021 10:45,964,2,V126561,14,0
342,5/1/2021 8:37,540,2,U559430,18,0
343,5/31/2021 9:28,118,3,U559430,0,0
344,6/30/2021 13:14,1335,3,M794992,0,0
345,6/9/2021 14:09,1331,1,E137708,29,0
346,5/4/2021 13:40,305,3,F533051,18,0
347,6/1/2021 9:41,1360,2,L736768,7,0
348,6/7/2021 12:23,1258,2,X991580,24,0
349,6/27/2021 15:47,284,3,T387561,0,0
350,5/15/2021 13:59,159,3,Y193775,282,0
351,6/30/2021 14:22,345,2,N119221,18,0
352,6/6/2021 9:04,254,2,B651033,0,0
353,5/31/2021 12:24,845,2,O856292,4,0
354,6/20/2021 15:34,1371,3,G727038,0,0
355,6/5/2021 13:56,509,3,U194381,22,0
356,5/3/2021 12:51,1268,2,V828034,13,0
357,5/7/2021 8:57,1109,3,C206355,10,0
358,5/25/2021 12:01,346,3,P286634,0,0
359,6/16/2021 12:38,307,3,X991580,0,0
360,6/7/2021 15:20,1002,3,K399501,0,0
361,6/18/2021 13:24,1286,1,I543040,0,0
362,5/15/2021 15:29,728,2,O362956,134,0
363,6/7/2021 13:30,562,3,F542348,0,0
364,5/7/2021 14:32,685,3,Y193775,2,0
365,5/17/2021 15:04,514,3,V732706,5,0
366,5/30/2021 12:13,1376,3,E778362,4,1
367,6/14/2021 11:59,1002,1,J173690,199,0
368,5/15/2021 8:48,1384,2,Y193775,4,0
369,5/31/2021 10:35,278,3,N470942,1,0
370,6/30/2021 10:10,1144,3,F533051,0,0
371,6/13/2021 13:55,1116,3,K273930,8,0
372,6/3/2021 11:37,1119,2,E243130,0,0
373,5/10/2021 14:09,253,3,J192194,0,0
374,6/27/2021 8:56,423,3,E778362,21,0
375,6/6/2021 15:14,185,3,D411745,13,0
376,5/5/2021 10:55,1326,3,S564705,0,0
377,5/17/2021 12:51,1416,1,F533051,30,1
378,6/25/2021 14:27,1356,2,O856292,0,0
379,5/5/2021 9:25,900,3,C206355,16,0
380,6/14/2021 8:33,713,2,F533051,15,0
381,6/15/2021 14:38,829,3,K669566,21,0
382,6/9/2021 9:06,541,2,T387561,0,1
383,6/23/2021 9:58,1385,3,C206355,0,0
384,5/20/2021 11:35,105,3,C206355,21,0
385,5/26/2021 9:01,96,1,L736768,12,0
386,6/11/2021 13:21,276,3,J549755,0,0
387,6/20/2021 11:11,607,1,N772493,0,0
388,6/13/2021 14:49,202,1,D411745,111,0
389,6/28/2021 9:11,640,1,O856292,0,0
390,5/13/2021 12:10,320,2,X825147,255,0
391,5/20/2021 16:00,405,2,B651033,13,0
392,6/4/2021 11:36,1407,3,L736768,30,0
393,6/24/2021 15:33,983,1,J173690,0,0
394,6/30/2021 12:22,985,1,D774655,197,0
395,5/20/2021 11:17,1249,3,D411745,20,0
396,6/12/2021 14:27,117,2,V828034,12,0
397,5/23/2021 10:22,1328,3,X110622,17,0
398,6/13/2021 8:25,944,3,O856292,22,0
399,5/31/2021 11:29,1344,3,E778362,0,0
400,5/19/2021 13:11,172,2,G586239,0,0
401,6/8/2021 12:28,1431,3,J632516,117,0
402,6/4/2021 13:16,199,3,J419954,0,0
403,6/13/2021 13:50,1430,2,E243130,0,0
404,6/3/2021 14:06,89,2,H438047,27,0
405,5/18/2021 15:08,604,2,F533051,30,0
406,5/24/2021 9:31,872,1,J549755,5,0
407,5/14/2021 15:10,212,3,I543040,1,0
408,6/25/2021 8:03,917,2,V126561,0,0
409,6/14/2021 10:42,1316,3,S274120,6,0
410,6/25/2021 13:04,651,2,E778362,0,0
411,6/16/2021 9:05,239,3,E778362,12,0
412,5/7/2021 9:29,730,3,T664783,0,0
413,6/15/2021 14:38,1395,3,J419954,0,1
414,5/5/2021 8:58,151,3,J632516,4,0
415,6/26/2021 14:27,1180,3,J632516,0,0
416,6/18/2021 8:50,300,3,M855788,165,0
417,6/24/2021 10:36,396,3,C206355,5,0
418,6/7/2021 12:29,1241,3,E988252,0,0
419,5/29/2021 14:12,1073,3,E988252,0,0
420,5/2/2021 11:11,529,3,X991580,18,1
421,6/4/2021 15:13,197,3,O856292,28,0
422,5/14/2021 10:13,703,3,E988252,155,0
423,6/16/2021 15:40,111,3,E243130,136,0
424,6/22/2021 10:20,123,3,U641256,0,0
425,6/11/2021 14:27,251,3,K273930,0,0
426,5/6/2021 12:08,858,2,E137708,0,0
427,5/28/2021 13:57,389,1,X991580,8,0
428,5/3/2021 14:04,1282,2,V732706,0,0
429,6/9/2021 9:24,866,1,G727038,0,0
430,5/18/2021 14:09,339,3,X409223,0,0
431,6/15/2021 13:58,1123,2,B861430,28,1
432,5/27/2021 8:21,1336,1,S704443,25,0
433,5/30/2021 8:22,1123,2,D774655,0,1
434,5/8/2021 13:04,223,2,K669566,0,0
435,6/8/2021 11:48,249,1,B971624,17,0
436,6/12/2021 15:59,1011,3,E778362,0,0
437,5/22/2021 12:55,663,2,L736768,0,0
438,5/17/2021 9:08,507,1,D411745,259,0
439,5/24/2021 11:50,770,3,O856292,0,0
440,6/29/2021 9:23,984,1,E137708,23,0
441,5/14/2021 13:06,360,1,V732706,219,0
442,5/10/2021 12:43,828,3,N119221,0,0
443,6/29/2021 14:31,560,3,K669566,18,0
444,6/3/2021 9:48,213,2,E137708,11,0
445,5/15/2021 8:46,703,3,E137708,0,0
446,6/29/2021 14:17,435,3,V732706,277,0
447,6/24/2021 14:23,704,3,J549755,15,0
448,6/12/2021 9:36,720,3,E137708,263,0
449,5/4/2021 14:18,1336,2,E778362,14,0
450,6/28/2021 8:44,823,2,E778362,64,0
451,6/6/2021 12:41,71,1,D411745,1,0
452,5/29/2021 14:46,794,2,P286634,20,0
453,6/24/2021 13:54,852,3,C206355,0,0
454,6/7/2021 14:22,771,3,C206355,0,0
455,6/4/2021 10:33,765,3,S704443,0,0
456,6/12/2021 11:15,784,3,N119221,4,0
457,5/29/2021 9:16,266,2,T398672,4,0
458,5/24/2021 8:20,1340,2,J419954,0,0
459,6/22/2021 15:02,1370,3,V228277,0,0
460,6/20/2021 8:49,1498,1,T664783,0,0
461,6/30/2021 9:03,217,3,N772493,30,0
462,6/26/2021 10:39,1208,3,J632516,19,0
463,5/19/2021 15:13,661,3,F542348,8,0
464,5/28/2021 11:39,554,3,N772493,293,0
465,6/25/2021 12:24,564,3,X991580,0,0
466,6/25/2021 14:24,760,3,P203824,5,0
467,5/14/2021 10:37,717,2,P286634,67,0
468,6/29/2021 8:25,927,3,D411745,14,0
469,6/3/2021 15:08,542,3,G586239,155,0
470,5/23/2021 15:32,352,1,D774655,0,0
471,6/16/2021 15:15,669,2,E988252,0,0
472,6/23/2021 9:18,658,2,C319958,0,0
473,5/25/2021 9:19,329,3,N119221,1,0
474,5/22/2021 13:21,1304,3,P286634,19,0
475,6/28/2021 11:43,1499,3,T659609,0,0
476,5/22/2021 8:16,1110,3,J549755,13,0
477,5/27/2021 15:33,239,3,S704443,0,0
478,5/2/2021 13:33,936,3,M163408,0,1
479,6/3/2021 13:39,1020,2,X991580,5,0
480,5/14/2021 15:37,453,1,G586239,0,0
481,5/30/2021 13:02,933,2,E778362,0,0
482,6/5/2021 13:04,450,2,K399501,24,0
483,5/25/2021 13:42,608,2,A166733,0,0
484,5/15/2021 9:14,108,2,P286634,5,0
485,6/6/2021 9:37,814,3,O362956,14,0
486,5/24/2021 14:27,642,2,O362956,22,0
487,6/6/2021 8:57,1252,3,P286634,22,0
488,6/23/2021 8:03,554,3,J192194,9,0
489,5/27/2021 9:47,1486,2,K222775,0,0
490,6/30/2021 15:12,984,1,C206355,2,0
491,5/28/2021 10:06,1420,3,U194381,20,0
492,5/30/2021 10:13,171,1,I992869,192,0
493,6/20/2021 11:16,1255,2,N620104,10,0
494,5/28/2021 14:39,219,3,J419954,0,1
495,5/9/2021 9:54,1103,2,B971624,0,0
496,6/15/2021 12:47,705,3,C206355,27,0
497,5/1/2021 15:18,272,1,M163408,1,0
498,6/4/2021 15:59,207,2,N119221,4,0
499,6/4/2021 11:54,589,3,J173690,0,0
500,6/6/2021 11:46,342,2,C319958,21,0
501,5/22/2021 14:30,750,3,S564705,2,0
502,5/28/2021 9:32,1090,3,O856292,26,0
503,5/9/2021 9:21,576,3,F533051,179,0
504,6/10/2021 10:57,31,2,I281837,21,0
505,6/20/2021 14:22,636,3,B971624,3,0
506,5/29/2021 15:47,974,3,G586239,0,0
507,6/5/2021 8:59,177,3,G586239,0,0
508,5/11/2021 13:39,1463,2,V228277,30,0
509,6/26/2021 15:20,74,1,K222775,7,0
510,5/22/2021 8:19,611,3,C206355,0,0
511,5/15/2021 12:59,239,3,N772493,29,0
512,6/8/2021 8:56,1414,3,M794992,0,1
513,5/11/2021 8:48,65,2,E988252,8,0
514,6/15/2021 15:25,649,2,V828034,0,0
515,5/18/2021 14:07,1420,3,N620104,27,1
516,6/15/2021 14:37,1007,2,D411745,0,0
517,6/28/2021 13:57,1134,2,P286634,9,0
518,6/22/2021 11:30,1476,3,X991580,0,0
519,5/1/2021 8:51,1294,3,S704443,0,0
520,6/2/2021 15:45,903,3,N772493,0,0
521,5/1/2021 8:32,920,3,B971624,0,0
522,6/19/2021 8:59,741,2,V228277,0,0
523,5/19/2021 11:54,699,3,S704443,28,0
524,5/31/2021 12:10,404,2,J173690,74,0
525,5/13/2021 9:16,1248,3,K915074,0,0
526,5/21/2021 11:15,1015,2,J173690,0,0
527,6/22/2021 13:32,957,2,B971624,0,0
528,6/17/2021 13:40,619,2,D774655,29,0
529,5/24/2021 9:30,700,3,P203824,0,0
530,6/4/2021 9:46,258,2,U559430,0,0
531,6/2/2021 15:25,54,2,S704443,1,0
532,5/27/2021 14:06,300,3,K222775,18,0
533,5/23/2021 12:20,373,1,N470942,175,1
534,6/16/2021 11:04,199,3,T387561,282,0
535,5/8/2021 10:16,121,1,U559430,16,0
536,6/20/2021 15:01,67,3,T398672,30,0
537,6/24/2021 15:09,1302,2,M794992,6,0
538,6/10/2021 9:10,601,2,V732706,16,0
539,6/5/2021 10:22,188,2,P203824,0,0
540,6/6/2021 14:30,406,2,K399501,0,0
541,5/8/2021 9:18,841,3,I281837,14,0
542,6/21/2021 11:00,1202,3,V126561,30,0
543,5/5/2021 10:49,591,3,M794992,21,0
544,5/17/2021 11:19,274,2,V828034,0,0
545,6/17/2021 13:01,742,3,N620104,9,0
546,6/23/2021 9:21,757,2,M163408,9,0
547,6/2/2021 8:55,114,1,J192194,63,0
548,6/30/2021 12:15,558,2,J419954,19,0
549,5/5/2021 14:41,1454,3,Q921541,0,0
